file_name,snr,pesq_score,ber,encode_time,decode_time,msg
CycleGAN-arf_00295_02085157423-vem_09697_020247,29.45,4.26,0.00,0.10,0.02,[0 0 1 0 1 1 0 0 1 1 0 1 1 1 1 0]
CycleGAN-arf_04310_00058824550-cof_00610_011772,28.00,4.19,0.00,0.10,0.02,[1 1 0 1 0 0 1 1 1 0 1 1 1 0 0 0]
CycleGAN-arf_04310_00058824550-pef_07508_000074,27.47,4.05,0.00,0.09,0.02,[1 0 1 1 0 0 1 0 0 0 1 1 1 0 0 0]
CycleGAN-arf_04310_00058824550-vef_02484_013517,25.66,3.84,0.00,0.09,0.01,[1 0 1 1 0 1 0 1 1 1 0 1 1 0 1 0]
CycleGAN-arf_04310_00130294780-arm_01523_009835,24.62,3.92,0.00,0.11,0.02,[0 1 0 1 1 0 0 1 1 1 0 1 1 1 0 0]
CycleGAN-arf_04310_00130294780-arm_07508_005162,23.41,3.64,0.00,0.10,0.02,[1 1 0 0 1 1 1 0 0 1 0 1 1 1 0 0]
CycleGAN-arf_04310_00130294780-clf_07049_011887,23.06,3.50,0.00,0.10,0.02,[1 1 1 1 0 0 0 1 0 1 1 0 1 1 1 0]
CycleGAN-arf_04310_00130294780-clm_02121_014435,24.10,3.70,0.00,0.11,0.02,[1 0 1 1 0 0 1 1 1 0 1 1 1 0 1 0]
CycleGAN-arf_04310_00130294780-cof_02484_010608,21.87,3.50,0.00,0.10,0.02,[0 0 1 0 1 0 1 1 0 0 0 1 0 0 1 0]
CycleGAN-arf_04310_00130294780-cof_06136_006391,23.07,3.89,0.00,0.10,0.02,[0 0 1 1 0 1 1 1 1 0 0 0 0 1 1 1]
CycleGAN-arf_04310_00130294780-pem_04310_002970,23.62,3.82,0.00,0.10,0.02,[1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 1]
CycleGAN-arf_04310_00130294780-vef_02484_008583,20.70,3.44,0.00,0.11,0.02,[1 1 1 0 0 1 0 0 1 1 1 1 0 0 1 1]
CycleGAN-arf_04310_00130294780-vem_06136_007519,25.50,4.49,0.00,0.10,0.02,[0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0]
CycleGAN-arf_04310_00341743771-arf_02121_018097,26.50,4.10,0.00,0.12,0.03,[1 1 0 1 0 0 0 1 1 1 0 0 0 1 1 1]
CycleGAN-arf_04310_00341743771-clf_04310_010463,26.17,4.00,0.00,0.12,0.02,[1 1 1 1 1 0 0 1 1 0 0 0 1 0 1 1]
CycleGAN-arf_04310_00341743771-clf_09697_018502,24.97,3.85,0.00,0.12,0.02,[1 1 0 0 1 0 1 0 1 0 1 1 0 0 1 0]
CycleGAN-arf_04310_00341743771-clm_07049_000799,23.21,3.51,0.00,0.11,0.02,[1 1 0 0 1 1 0 1 0 1 0 1 0 1 1 1]
CycleGAN-arf_04310_00341743771-com_04310_006265,21.71,3.74,0.00,0.11,0.02,[1 0 1 1 0 0 0 0 1 1 1 0 0 0 1 1]
CycleGAN-arf_04310_00341743771-pem_08784_002476,24.74,3.97,0.00,0.11,0.02,[0 1 0 0 0 0 1 0 0 1 1 1 0 1 0 0]
CycleGAN-arf_04310_00341743771-vef_05223_018617,25.48,4.07,0.00,0.11,0.02,[0 0 1 1 0 1 1 1 1 1 0 0 0 0 1 1]
CycleGAN-arf_04310_00341743771-vef_09697_017839,25.57,4.22,0.00,0.11,0.02,[1 0 1 0 1 1 1 1 1 0 1 1 0 1 1 0]
CycleGAN-arf_04310_00341743771-vem_06136_007053,25.81,4.48,0.00,0.11,0.02,[0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 0]
CycleGAN-arf_04310_00441914819-arf_02436_010684,29.20,4.27,0.00,0.09,0.01,[0 0 0 1 1 1 1 1 1 0 1 1 1 1 0 1]
