file_name,ber,ber_opus_12k
CycleGAN-arf_08421_00349485232-vem_05223_000345,0.00,0.00
CycleGAN-arf_08421_00349485232-vem_09697_000958,0.00,0.00
CycleGAN-arf_08421_00548230635-arm_01523_015419,0.00,6.25
CycleGAN-arf_08421_00548230635-arm_06136_013785,0.00,0.00
CycleGAN-arf_08421_00548230635-clm_02121_018799,0.00,0.00
CycleGAN-arf_08421_00548230635-clm_07049_002641,0.00,0.00
CycleGAN-arf_08421_00548230635-cof_08784_008701,0.00,0.00
CycleGAN-arf_08421_00548230635-com_00610_004442,0.00,0.00
CycleGAN-arf_08421_00548230635-com_04310_018175,0.00,0.00
CycleGAN-arf_08421_00548230635-pef_03397_011661,0.00,0.00
CycleGAN-arf_08421_00548230635-vef_03397_002527,0.00,0.00
CycleGAN-arf_08421_00867116088-clf_09697_006410,0.00,100.00
CycleGAN-arf_08421_00867116088-cof_08784_016697,0.00,0.00
CycleGAN-arf_08421_00867116088-com_04310_013010,0.00,0.00
CycleGAN-arf_08421_00867116088-vem_06136_008626,0.00,6.25
CycleGAN-arf_08421_00886355781-vef_03397_005306,0.00,0.00
CycleGAN-arf_08421_00886355781-vef_05223_001360,0.00,0.00
CycleGAN-arf_08421_01567366016-clm_02121_018953,0.00,6.25
CycleGAN-arf_08421_01567366016-cof_08784_007790,0.00,6.25
CycleGAN-arf_08421_01724756941-arf_02436_006407,0.00,100.00
CycleGAN-arf_08421_01724756941-clf_03397_017055,0.00,100.00
CycleGAN-arf_08421_01724756941-clf_07049_017955,0.00,6.25
CycleGAN-arf_08421_01724756941-clm_08421_002145,0.00,0.00
CycleGAN-arf_08421_01724756941-pem_02436_000834,0.00,100.00
CycleGAN-arf_08421_01724756941-pem_04310_014157,0.00,0.00
CycleGAN-arf_08421_01724756941-vef_03397_015725,0.00,100.00
CycleGAN-arf_08421_01926381979-arf_02121_017691,0.00,0.00
CycleGAN-arf_08421_01926381979-arm_07508_000053,0.00,6.25
CycleGAN-arf_08421_01926381979-cof_06136_006792,0.00,0.00
CycleGAN-arf_08421_01926381979-pem_04310_020429,0.00,100.00
CycleGAN-arf_08421_01926381979-vem_06136_002418,0.00,0.00
CycleGAN-arf_08421_01946779000-arf_02121_008097,0.00,0.00
CycleGAN-arf_08421_01946779000-arm_00610_009622,0.00,0.00
CycleGAN-arf_08421_01946779000-arm_06136_013613,0.00,0.00
CycleGAN-arf_08421_01946779000-clf_03397_014270,0.00,0.00
CycleGAN-arf_08421_01946779000-clf_07049_016854,0.00,0.00
CycleGAN-arf_08421_01946779000-clf_09697_016769,0.00,100.00
CycleGAN-arf_08421_01946779000-clm_04310_020450,0.00,0.00
CycleGAN-arf_08421_02026304053-arm_00610_011712,0.00,0.00
CycleGAN-arf_08421_02026304053-arm_07508_015087,0.00,0.00
CycleGAN-arf_08421_02026304053-cof_06136_011207,0.00,6.25
CycleGAN-arf_08421_02026304053-pef_03397_001117,0.00,100.00
CycleGAN-arf_08421_02026304053-pem_02436_011543,0.00,0.00
CycleGAN-arf_08421_02026304053-vef_02484_011923,0.00,0.00
CycleGAN-arf_08421_02026304053-vef_09697_004231,0.00,100.00
CycleGAN-arf_08421_02040752792-arm_01523_002656,0.00,100.00
CycleGAN-arf_08421_02040752792-clm_07049_011960,0.00,12.50
CycleGAN-arf_08421_02040752792-cof_08784_011237,0.00,0.00
CycleGAN-arf_08421_02040752792-com_00610_017523,0.00,6.25
CycleGAN-arm_04310_00143903394-arf_03397_018620,0.00,0.00
CycleGAN-arm_04310_00143903394-arm_00610_013752,0.00,0.00
CycleGAN-arm_04310_00143903394-clf_03397_013360,0.00,0.00
CycleGAN-arm_04310_00143903394-clf_04310_021168,0.00,6.25
CycleGAN-arm_04310_00143903394-clm_07049_011856,0.00,6.25
CycleGAN-arm_04310_00143903394-pef_03397_017941,0.00,0.00
CycleGAN-arm_04310_00143903394-vef_09697_009706,0.00,6.25
CycleGAN-arm_04310_00143903394-vem_05223_017959,0.00,0.00
CycleGAN-arm_04310_00143903394-vem_06136_012308,0.00,6.25
CycleGAN-arm_04310_00330879471-arf_02121_015594,0.00,0.00
CycleGAN-arm_04310_00330879471-clm_07049_015970,0.00,0.00
CycleGAN-arm_04310_00330879471-pef_07049_012028,0.00,100.00
CycleGAN-arm_04310_00330879471-vem_04310_013951,0.00,0.00
CycleGAN-arm_04310_00330879471-vem_06136_006568,0.00,0.00
CycleGAN-arm_04310_00403055305-arm_01523_015712,0.00,0.00
CycleGAN-arm_04310_00403055305-arm_06136_006037,0.00,0.00
CycleGAN-arm_04310_00403055305-clf_09697_001182,0.00,0.00
CycleGAN-arm_04310_00403055305-cof_02484_016183,0.00,6.25
CycleGAN-arm_04310_00403055305-com_00610_014724,0.00,100.00
CycleGAN-arm_04310_00403055305-vef_02484_021123,0.00,0.00
CycleGAN-arm_04310_00403055305-vef_09697_006757,0.00,6.25
CycleGAN-arm_04310_00403055305-vem_04310_003469,0.00,0.00
CycleGAN-arm_04310_00806938807-arf_05679_010182,0.00,6.25
CycleGAN-arm_04310_00806938807-cof_06136_007761,0.00,6.25
CycleGAN-arm_04310_00806938807-cof_08784_017104,0.00,100.00
CycleGAN-arm_04310_00806938807-com_04310_008578,0.00,0.00
CycleGAN-arm_04310_01373377983-arm_00610_000727,0.00,6.25
CycleGAN-arm_04310_01373377983-arm_07508_020120,0.00,0.00
CycleGAN-arm_04310_01373377983-clf_03397_014539,0.00,100.00
CycleGAN-arm_04310_01373377983-pef_07508_020580,0.00,0.00
CycleGAN-arm_04310_01373377983-vem_05223_018916,0.00,6.25
CycleGAN-arm_04310_01377028380-arm_06136_012542,0.00,0.00
CycleGAN-arm_04310_01377028380-clm_02121_021402,0.00,0.00
CycleGAN-arm_04310_01377028380-com_09334_005292,0.00,0.00
CycleGAN-arm_04310_01377028380-vef_03397_016541,0.00,6.25
CycleGAN-arm_04310_01377028380-vef_05223_002821,0.00,0.00
CycleGAN-arm_04310_01377028380-vem_06136_008626,0.00,0.00
CycleGAN-arm_04310_01517295972-clm_07049_006280,0.00,0.00
CycleGAN-arm_04310_01517295972-clm_08421_012372,0.00,0.00
CycleGAN-arm_04310_01517295972-pem_08784_017655,0.00,25.00
CycleGAN-arm_04310_01517295972-vef_02484_016682,0.00,0.00
CycleGAN-arm_04310_01517295972-vef_05223_004857,0.00,100.00
CycleGAN-arm_04310_01517295972-vem_05223_017581,0.00,100.00
CycleGAN-arm_04310_01837240332-clm_04310_014761,0.00,0.00
CycleGAN-arm_04310_01837240332-clm_08421_013596,0.00,0.00
CycleGAN-arm_04310_01837240332-cof_02484_013484,0.00,100.00
CycleGAN-arm_04310_01837240332-com_02436_012156,0.00,0.00
CycleGAN-arm_04310_01845264076-arf_02436_006992,0.00,100.00
